patent_id,label,content,label_USPTO_original,predictions,predictions_GPT4,Manual Audit
10000115,0,"Tell me whether this is a green patent related to transportation with Yes or No. Method of operating a transmission.A method for operating a transmission, wherein the transmission is shifted from an original gear to a target gear, the method including: setting one of the shift elements located in a power flow of the transmission essentially load-free by use of an electric motor; opening the shift element essentially load-free in the first step; synchronizing a rotational speed between two shafts of the transmission by the electric motor or by a torque at the transmission input shaft, the two shafts to be connected in the target gear through a shift element not in the power flow of the transmission at the first step; and locking the shift element between the two shafts synchronized in the third step; wherein a change to a transmission ratio between the original gear and the target gear is greater than a change between the original gear and an adjacent gear.",Yes,Yes,Yes,Yes
10000123,0,"Tell me whether this is a green patent related to transportation with Yes or No. Hybrid vehicle.When such an abnormality that a battery voltage system voltage is brought into an overvoltage state during regenerative control of a motor occurs, a booster converter is shut down, a system main relay is brought into a non-arc state and turned off. Then, an engine is started when an operation of the engine is stopped. The booster converter is used to determine turning-off of the system main relay, and a battery-less travel is started thereafter. In this way, inconvenience that possibly occurs by starting the battery-less travel at a time when abnormality of the system main relay being stuck to be on occurs can be avoided.",Yes,Yes,Yes,Yes
10000124,0,"Tell me whether this is a green patent related to transportation with Yes or No. Independent steering, power, torque control and transfer in vehicles.Systems, apparatus and methods to multiple levels of redundancy in torque steering control and propulsion control of an autonomous vehicle include determining that a powertrain unit of the autonomous vehicle is non-operational and disabling propulsion operation of the non-operational powertrain unit and implementing torque steering operation in another powertrain unit while propelling the autonomous vehicle using other powertrain units that are configured to implement torque steering operation and propulsion operation.",Yes,Yes,Yes,Yes
10000138,0,"Tell me whether this is a green patent related to transportation with Yes or No. Cooling device of onboard secondary battery.A cooling device of an onboard secondary battery, includes a housing that is provided in a vehicle, and houses a battery pack including a secondary battery and a case that covers the secondary battery, a blower that blows an air at an outside of the vehicle into the housing, a temperature determiner that determines whether or not an air temperature of the outside of the vehicle is lower than a temperature of the secondary battery, and a blow controller that drives the blower, when the temperature determiner determines that the air temperature of the outside of the vehicle is lower than the temperature of the secondary battery.",Yes,Yes,Yes,Yes
10000140,0,"Tell me whether this is a green patent related to transportation with Yes or No. Method of controlling air blower of fuel cell vehicle.A method for controlling an air blower of a fuel cell vehicle includes operating the air blower with a low limit revolutions per minute (RPM), which is calculated based on a vehicle hill-climbing gradient during hill-climbing, without regenerative braking. Accordingly, when reacceleration and additional acceleration are required during hill climbing of the fuel cell vehicle, the fuel cell vehicle ensures high responsibility and launching characteristics.",Yes,Yes,Yes,Yes
10000141,0,"Tell me whether this is a green patent related to transportation with Yes or No. Method and system for controlling fuel cell vehicle.A method and system for controlling a fuel cell vehicle are provided. The method includes determining, by a controller, a driving pattern of a driver based on driving information including acceleration and deceleration information. A condition for activation of an idling-stop of a fuel cell is then set based on the determined driving pattern and the fuel cell is stopped from generating electric energy when the condition for activation of the idling-stop is satisfied.",Yes,Yes,Yes,Yes
10000198,0,"Tell me whether this is a green patent related to transportation with Yes or No. Control system and control method.In a control system and a control method, an electronic control unit is configured to crank an engine by setting a clutch to a half engaged state in a state where operation of the engine is stopped during traveling. The half engaged state is a state where the clutch is engaged with a slip. The electronic control unit is configured to, after a rotation speed of the engine has reached an ignition permission rotation speed or higher, increase a transmitted torque capacity of the clutch to a transmitted torque capacity that satisfies the following conditions i) and ii): i) the transmitted torque capacity is larger than a transmitted torque capacity before the rotation speed of the engine has reached the ignition permission rotation speed; and ii) the transmitted torque capacity allows the clutch to be kept in the half engaged state.",Yes,Yes,Yes,Yes
10000201,0,Tell me whether this is a green patent related to transportation with Yes or No. Driving mode control method and apparatus of hybrid electric vehicle.A driving mode control method and apparatus of a hybrid electric vehicle are provided. The driving mode control method includes decreasing a torque of an engine when a first driving mode in which both the engine and a first motor are driven is switched to a second driving mode driven by the first motor and applying a torque of a second motor. A clutch is then opened when a difference between the engine torque and the second motor torque is less than a first threshold torque.,Yes,Yes,Yes,Yes
10000203,0,"Tell me whether this is a green patent related to transportation with Yes or No. EV mode shift strategy for hybrid vehicle.A vehicle includes and an engine, a motor, a transmission, and a controller. The transmission is configured is to receive power from the engine and the motor. The transmission is also configured to shift between gears based on a shift schedule. The controller is programmed to, in response to only the motor providing power to the transmission, adjust the shift schedule to narrow an operating speed range of the motor such that the motor speed maintains a peak range of an available motor power output.",Yes,Yes,Yes,Yes
10000204,0,"Tell me whether this is a green patent related to transportation with Yes or No. Apparatus and method for learning touch point of engine clutch of hybrid electric vehicle.A method for learning a touch point of an engine clutch of a hybrid electric vehicle including a motor connected to a transmission and an engine selectively connected to the motor through the engine clutch includes determining whether a learning condition of the touch point of the engine clutch is satisfied, releasing a transmission clutch and controlling a motor speed when the learning condition is satisfied, increasing a coupling pressure of the engine clutch when a change amount of the motor speed is less than a first predetermined value, comparing a change amount of a motor torque according to the increased coupling pressure of the engine clutch with a second predetermined value, and learning the touch point of the engine clutch when the change amount of the motor torque is greater than or equal to the second predetermined value.",Yes,Yes,Yes,Yes
